@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute Linearity numeric
@attribute 'Close to Cam' numeric
@attribute 'Close to Other Face' numeric
@attribute Smile {0,1,2}

@data
564,'2017/02/11 13:48:25:161',9,99.095833,68.69664,82.459648,223.770981,27.607048,75.27005,166.752335,349.226563,343.317413,99.98587,55.330532,128.928574,497.651672,127.050156,0,?,?,?
565,'2017/02/11 13:48:25:319',9,98.25972,67.335762,83.479446,224.206055,25.9391,77.212997,165.947144,347.603973,343.060059,99.980476,56.29707,131.133591,497.672546,126.857697,0,?,?,?
566,'2017/02/11 13:48:25:425',9,92.716148,67.763763,86.278091,224.702682,27.735064,76.952263,162.697159,347.821014,342.945435,99.980942,56.851166,131.697342,498.051453,126.843674,0,?,?,?
567,'2017/02/11 13:48:25:608',9,75.627975,67.711021,88.719185,224.253998,21.508892,77.390862,160.555511,347.780273,342.658264,99.979874,56.540909,129.823181,497.218811,126.856865,0,?,?,?
568,'2017/02/11 13:48:25:724',9,63.133152,67.288971,90.518295,225.633301,18.693888,77.055092,160.260727,350.211609,342.454193,99.978371,56.974152,129.758636,497.271545,126.123413,0,?,?,?
569,'2017/02/11 13:48:25:911',9,56.769772,67.352394,92.459068,225.511444,11.388629,77.740608,157.913727,349.797516,342.75769,99.986565,56.79771,129.649429,496.501099,125.714119,0,?,?,?
570,'2017/02/11 13:48:26:076',9,57.927841,66.883575,93.987473,226.128571,8.624547,76.835007,155.732651,347.507324,342.429504,99.989212,56.96265,132.150818,497.165497,125.352592,0,?,?,?
571,'2017/02/11 13:48:26:241',9,66.740242,66.596474,96.929749,226.579498,9.047438,75.52224,152.306839,348.131042,343.215759,99.987831,55.337402,131.132431,498.04248,125.288666,0,?,?,?
572,'2017/02/11 13:48:26:374',9,67.427063,66.750488,98.106689,226.489212,8.537607,75.503677,150.768478,348.082001,343.751648,99.970421,55.69173,132.790848,498.179382,124.250488,0,?,?,?
573,'2017/02/11 13:48:26:513',9,87.188759,66.898872,97.385185,226.080872,10.607424,75.841957,151.788254,347.664856,344.014221,99.955002,57.166008,134.8116,498.61615,122.687439,0,?,?,?
574,'2017/02/11 13:48:26:675',9,89.261353,66.825706,96.378899,226.873291,8.035769,75.433823,153.832367,348.904968,343.46936,99.812859,57.009663,135.880142,499.114441,121.082596,0,?,?,?
575,'2017/02/11 13:48:26:777',9,88.284081,67.328674,94.016327,226.497559,4.036564,76.87928,156.916809,347.808594,344.169525,99.799332,56.381035,139.76564,500.271667,118.950195,0,?,?,?
576,'2017/02/11 13:48:26:971',9,91.016617,67.680542,92.952232,227.744598,3.4862,76.801025,156.955551,347.818512,344.076477,99.805244,57.277596,141.239456,500.928528,118.461731,0,?,?,?
577,'2017/02/11 13:48:27:134',9,46.480453,68.488899,90.508545,227.619034,2.821959,76.911247,158.314407,346.220795,343.854614,99.326775,56.861835,142.284012,500.351715,117.802826,0,?,?,?
578,'2017/02/11 13:48:27:242',9,30.912817,69.578911,88.9823,227.16983,4.290307,76.86824,160.779785,347.458679,344.482452,99.577759,57.721508,141.407761,500.22287,118.004608,0,?,?,?
579,'2017/02/11 13:48:27:429',9,2.01076,68.934265,90.403107,227.150208,5.077452,76.435326,159.60434,346.839172,344.140686,99.329529,56.76601,140.950043,499.739441,118.590927,0,?,?,?
580,'2017/02/11 13:48:27:542',9,0.031393,68.248917,92.02977,226.947754,5.118236,77.462715,157.742249,347.457611,344.095123,99.384018,57.04953,139.009857,499.265747,119.70433,0,?,?,?
581,'2017/02/11 13:48:27:728',9,0.011681,68.726952,94.376732,228.275192,4.068797,77.23143,154.158264,347.576721,343.724487,99.198433,56.7313,138.566467,499.24353,120.181717,0,?,?,?
582,'2017/02/11 13:48:27:831',9,0.001263,67.919563,98.059799,229.466614,2.171681,76.481804,153.104828,348.852936,343.096008,99.010582,56.775623,137.368134,499.194122,120.37413,0,?,?,?
583,'2017/02/11 13:48:28:018',9,0.002541,67.944412,99.104134,227.587555,1.653384,76.591431,151.576981,347.793701,343.220886,99.175758,57.043633,137.539581,499.728455,120.643295,0,?,?,?
584,'2017/02/11 13:48:28:139',9,0.006394,67.511932,99.392715,227.553223,1.351985,76.285561,150.705185,347.615173,342.576355,99.491776,56.657551,137.633743,499.548462,120.30822,0,?,?,?
585,'2017/02/11 13:48:28:299',9,0.006208,68.01165,99.529625,227.633575,1.603424,76.935326,151.238052,348.046356,342.556091,99.924316,55.94812,137.317703,499.677917,120.073257,0,?,?,?
586,'2017/02/11 13:48:28:513',9,0.101584,68.104599,98.446388,226.90007,2.028467,76.235657,153.685074,348.66571,342.58667,99.97789,56.031914,137.871918,499.987122,120.170212,0,?,?,?
587,'2017/02/11 13:48:28:596',9,1.813954,67.201645,96.184471,226.774796,4.178872,75.847939,154.952606,346.938477,341.761169,99.997391,55.925213,137.725769,499.523071,119.782394,0,?,?,?
588,'2017/02/11 13:50:06:084',10,0.000007,68.832588,552.058228,126.914322,0.000005,54.845707,401.75589,64.66716,155.513733,0,69.746429,186.818573,341.807495,123.917686,1,?,?,?
589,'2017/02/11 13:50:06:229',10,0.000009,70.686417,550.894409,127.536194,0.000007,54.584106,399.557892,64.343079,155.526382,0,70.205292,185.813354,341.408478,124.460907,1,?,?,?
590,'2017/02/11 13:50:06:312',10,0.000009,70.574532,550.997009,127.409882,0.000005,54.247707,398.905762,64.821388,155.680069,0,70.381714,186.053406,341.967773,124.26712,1,?,?,?
591,'2017/02/11 13:50:06:440',10,0.000009,69.951019,550.937012,127.693886,0.000004,54.065174,398.749054,64.686981,155.854721,0,69.959427,186.626862,342.185455,124.299934,1,?,?,?
592,'2017/02/11 13:50:06:545',10,0.000009,69.907043,551.335388,127.880936,0.000005,53.072105,399.464417,63.514687,155.844833,0,70.851921,188.140076,342.699707,124.446854,1,?,?,?
593,'2017/02/11 13:50:06:672',10,0.000008,69.689903,551.017883,128.093567,0.000004,56.165924,398.111053,64.948921,155.663116,0,70.059166,187.949554,344.151733,124.15004,1,?,?,?
594,'2017/02/11 13:50:06:805',10,0.000007,69.76931,551.261292,127.740974,0.000003,55.178391,398.410278,65.582695,155.111954,0,69.60704,186.919739,342.482208,125.665039,1,?,?,?
595,'2017/02/11 13:50:06:909',10,0.00001,68.13443,551.113037,128.569275,0.000002,56.28273,400.878235,64.387833,155.254837,0,70.503166,189.574768,343.297852,126.85112,1,?,?,?
596,'2017/02/11 13:50:07:036',10,0.000016,69.324409,551.799683,128.658966,0.000001,56.553455,400.972534,64.853531,155.388901,0,70.372292,189.175934,343.367126,126.38707,1,?,?,?
597,'2017/02/11 13:50:07:169',10,0.000019,68.931068,552.206543,128.176605,0.000001,56.73317,398.310242,66.298866,154.908508,0,70.018501,186.696442,342.983032,126.774963,1,?,?,?
598,'2017/02/11 13:50:07:264',10,0.000015,69.256195,551.896484,128.823776,0.000001,56.2323,398.308441,64.820595,155.484665,0,69.629807,187.030243,343.180908,127.505295,1,?,?,?
599,'2017/02/11 13:50:07:400',10,0.000012,69.882805,551.459351,129.04007,0.000002,55.097595,399.947815,64.65799,154.490829,0,70.217094,190.752579,344.710266,127.624634,1,?,?,?
600,'2017/02/11 13:50:07:528',10,0.000007,69.021088,551.486145,129.041687,0.000002,53.834805,399.757813,64.889015,154.787308,0,70.215172,190.777969,344.511353,126.864044,1,?,?,?
601,'2017/02/11 13:50:07:631',10,0.000007,68.596756,550.838623,128.800323,0.000004,53.877861,401.339111,64.09684,154.708649,0,71.722343,193.191315,346.484131,127.497635,1,?,?,?
602,'2017/02/11 13:50:07:763',10,0.000007,69.626404,550.9505,128.411423,0.000005,53.735512,399.867188,63.809242,154.853973,0,70.745308,195.255997,348.951416,126.80188,1,?,?,?
603,'2017/02/11 13:50:07:943',10,0.000011,69.706841,551.674561,128.707031,0.000006,53.893173,399.817383,64.625725,154.801682,0,70.621803,196.803314,350.795959,127.477715,1,?,?,?
604,'2017/02/11 13:50:07:998',10,0.000016,69.69799,551.473022,128.585358,0.000004,55.134155,401.359192,63.519333,154.95076,0,71.077431,202.203796,353.863647,126.458168,1,?,?,?
605,'2017/02/11 13:50:08:125',10,0.000027,69.548958,551.651306,128.664627,0.000003,55.770267,401.075378,63.62759,154.915329,0,69.760307,205.081787,356.69165,124.797157,1,?,?,?
606,'2017/02/11 13:50:08:278',10,0.000026,69.8255,551.640808,128.691223,0.000001,56.248688,401.384552,63.784294,154.47908,0,72.359467,210.4888,362.242126,125.926315,1,?,?,?
607,'2017/02/11 13:50:08:361',10,0.000028,69.525581,551.564941,129.268005,0.000001,56.729603,402.001892,63.461777,154.801895,0,70.799889,210.77478,361.513214,125.254974,1,?,?,?
608,'2017/02/11 13:50:08:489',10,0.000019,69.519478,550.606201,129.157181,0,56.59903,400.386475,63.47876,154.63829,0,71.643089,212.444641,364.376404,125.964355,1,?,?,?
609,'2017/02/11 13:50:08:638',10,0.00002,69.565674,550.926331,128.918289,0,56.75433,400.257263,63.497726,154.517349,0,70.903572,213.820313,367.0896,126.722076,1,?,?,?
610,'2017/02/11 13:50:08:713',10,0.000019,68.607216,550.055298,128.967316,0,57.159328,400.391327,63.326256,154.437088,0,70.623184,216.393188,368.686676,127.153931,1,?,?,?
611,'2017/02/11 13:50:08:846',10,0.000028,67.860649,551.154785,129.385483,0,56.040321,401.700409,63.158882,154.724487,0,71.132774,217.791656,369.362976,124.93692,1,?,?,?
612,'2017/02/11 13:50:09:003',10,0.000029,69.076813,551.047058,129.344528,0,55.234673,402.323181,61.453533,154.173309,0,71.730865,218.90419,369.200562,125.733238,1,?,?,?
613,'2017/02/11 13:50:09:080',10,0.000031,68.986649,551.102905,129.43631,0,55.572124,405.47702,58.400047,154.409241,0,70.835602,220.662201,368.164307,125.370506,1,?,?,?
614,'2017/02/11 13:50:09:209',10,0.000026,68.858879,550.893311,129.251099,0,54.277592,411.309296,52.896324,154.029526,0,70.404411,224.918182,367.162506,125.745087,1,?,?,?
615,'2017/02/11 13:50:09:368',10,0.000017,69.454308,551.307617,129.533966,0,50.127136,417.61084,47.626083,154.018188,0,71.460289,227.924774,364.298767,124.754234,1,?,?,?
616,'2017/02/11 13:50:09:444',10,0.000011,68.809593,551.081909,129.838531,0.000001,52.994843,417.946045,47.407722,154.339355,0,71.067574,226.22168,362.680542,126.500153,1,?,?,?
617,'2017/02/11 13:50:09:575',10,0.000007,68.40377,551.367676,129.789856,0.000001,55.441875,412.720001,52.495708,155.363632,0,70.368088,219.252289,360.220367,125.503555,1,?,?,?
618,'2017/02/11 13:50:09:677',10,0.000005,68.473969,550.834229,129.849792,0.000002,54.404404,404.610016,59.810318,155.971588,0,71.046921,208.066193,357.78894,125.486244,1,?,?,?
619,'2017/02/11 13:50:09:807',10,0.000007,68.816055,551.536011,129.650223,0.000011,55.559753,398.839417,66.798088,158.352524,0,72.197685,198.357742,354.435608,126.530701,1,?,?,?
620,'2017/02/11 13:50:09:936',10,0.000008,68.754631,551.189392,129.850296,0.000019,57.114578,396.927155,68.160851,159.434692,0,72.279594,193.454834,351.862549,126.170578,1,?,?,?
621,'2017/02/11 13:50:10:088',10,0.000008,68.28257,550.992981,129.914734,0.000034,55.074417,399.70929,66.046913,159.436783,0,71.899529,193.783295,348.070313,126.434586,1,?,?,?
622,'2017/02/11 13:50:10:174',10,0.000013,66.718369,551.027832,129.441711,0.000067,55.33934,400.520752,65.598755,158.930206,0,70.667145,188.850342,342.749451,127.030739,1,?,?,?
623,'2017/02/11 13:50:10:300',10,0.000011,68.317642,551.175598,129.485199,0.000046,56.031433,402.928955,63.41272,158.478043,0,70.68161,186.891495,338.713867,126.228996,1,?,?,?
624,'2017/02/11 13:50:10:397',10,0.000006,68.815102,550.803101,129.224548,0.000004,56.351536,400.808075,64.599327,157.362946,0,69.271408,184.038757,335.004944,125.014221,1,?,?,?
625,'2017/02/11 13:50:10:538',10,0.000007,68.969307,550.979004,128.899597,0.000001,56.148563,399.837891,66.694458,155.498596,0,69.172646,181.425125,332.994629,126.17395,1,?,?,?
626,'2017/02/11 13:50:10:664',10,0.000008,68.412476,550.208069,129.63588,0.000001,57.309525,399.956665,67.145538,154.277222,0,69.084335,180.01944,331.026245,125.512909,1,?,?,?
627,'2017/02/11 13:50:10:765',10,0.000007,69.46904,550.910767,129.735779,0.000007,56.861008,399.065399,67.009209,154.556335,0,70.223984,175.774323,328.645203,125.267403,1,?,?,?
628,'2017/02/11 13:50:10:894',10,0.00001,68.887657,550.395508,129.812485,0.000052,56.604988,397.251617,67.835068,152.750198,0,69.942337,172.308838,325.913757,125.168434,1,?,?,?
629,'2017/02/11 13:50:11:049',10,0.000016,68.836945,550.508423,129.854492,0.001824,56.474438,398.128387,67.002548,153.961212,0,69.350227,171.237732,324.200378,124.909515,1,?,?,?
630,'2017/02/11 13:50:11:130',10,0.000015,68.62088,550.397583,129.667664,0.037842,56.764584,395.950378,68.946754,153.91362,0,69.92247,168.549896,324.085266,126.378578,1,?,?,?
631,'2017/02/11 13:50:11:261',10,0.00002,68.444695,549.907349,129.624268,0.093193,55.731049,394.209137,70.767883,153.656967,0,70.129608,166.994751,323.759003,126.519379,1,?,?,?
632,'2017/02/11 13:50:11:416',10,0.000024,68.036812,550.659668,129.597351,0.075592,56.497093,392.479858,72.885849,153.861694,0,69.662338,165.133881,324.555054,126.494919,1,?,?,?
633,'2017/02/11 13:50:11:486',10,0.00005,67.096138,551.306458,129.439514,0.19994,56.440804,390.264923,74.893631,155.257828,0,69.752403,162.941345,325.239807,128.147064,1,?,?,?
634,'2017/02/11 13:50:11:617',10,0.000092,68.634361,550.929504,129.324127,0.797139,56.53582,389.726959,74.510468,156.529892,0,68.848244,162.868347,324.106873,127.962402,1,?,?,?
635,'2017/02/11 13:50:11:774',10,0.000086,68.873405,550.880432,129.46167,4.279638,55.992474,388.871796,77.229912,154.950089,0,69.927048,160.32132,323.209564,127.634048,1,?,?,?
636,'2017/02/11 13:50:11:851',10,0.000091,68.495773,550.467773,129.49646,21.725513,56.480751,387.54184,75.033836,155.503906,0,69.650581,158.907288,322.402527,127.880783,1,?,?,?
637,'2017/02/11 13:50:11:989',10,0.000069,68.685532,550.546997,129.568237,23.813036,56.27898,390.056549,73.911125,155.619431,0,69.432755,160.34137,321.788574,128.055923,1,?,?,?
638,'2017/02/11 13:50:12:141',10,0.000033,69.283539,550.27832,129.115601,17.635403,55.785503,387.780121,77.879845,155.465134,0,70.30246,156.879791,320.247437,128.021881,1,?,?,?
639,'2017/02/11 13:50:12:274',10,0.000017,68.833954,550.674316,129.553513,4.592677,56.640446,386.986084,77.468765,155.261566,0.000001,69.166893,154.432053,319.334412,127.322609,1,?,?,?
640,'2017/02/11 13:50:12:351',10,0.000015,69.147644,550.789246,129.195648,2.530087,56.573982,387.389862,76.574486,155.154663,0.000002,69.569,152.238647,318.380127,126.91922,1,?,?,?
641,'2017/02/11 13:50:12:501',10,0.000008,69.30619,551.222839,129.507645,0.78253,56.084503,390.164398,75.704056,155.144745,0.000002,69.197685,155.139099,318.412598,127.125931,1,?,?,?
642,'2017/02/11 13:50:12:582',10,0.000007,69.340218,551.033325,129.249588,0.703555,56.913544,390.476685,74.836075,155.503922,0.000001,68.938683,156.990906,318.992126,126.92067,1,?,?,?
643,'2017/02/11 13:50:12:713',10,0.000006,69.309013,550.835815,129.13118,1.197026,56.621178,390.632385,74.863617,155.524445,0.000001,70.717812,157.529434,320.409851,127.110626,1,?,?,?
644,'2017/02/11 13:50:12:810',10,0.000006,69.403053,549.952942,128.881622,2.868554,56.694885,390.076782,73.568123,155.854248,0,71.575462,159.681671,321.866394,127.302879,1,?,?,?
645,'2017/02/11 13:50:12:947',10,0.000007,69.518829,549.907166,128.500809,4.404342,56.739498,389.522156,73.88269,155.690002,0,71.480026,160.704987,323.443115,127.8255,1,?,?,?
646,'2017/02/11 13:50:13:075',10,0.00001,69.551888,550.750122,129.000061,9.195372,56.71801,390.550659,73.993546,155.744675,0,71.55191,163.375961,325.925232,127.490875,1,?,?,?
647,'2017/02/11 13:50:13:170',10,0.000015,69.496292,550.744324,128.909454,10.929131,57.083157,391.081055,73.286835,155.555328,0,71.215599,165.232162,325.9245,126.862404,1,?,?,?
648,'2017/02/11 13:50:13:307',10,0.000023,69.473457,550.045837,128.850082,13.156897,56.946651,390.974121,72.547913,155.436249,0,71.40657,166.589447,327.508118,126.670456,1,?,?,?
649,'2017/02/11 13:50:13:433',10,0.000029,69.212799,548.802002,128.999664,16.800644,56.241966,389.459717,73.258369,155.168701,0,70.337639,167.882217,329.929688,126.689392,1,?,?,?
650,'2017/02/11 13:50:13:540',10,0.000041,69.174492,548.962524,129.447067,16.264275,56.605553,391.088867,73.083534,154.793167,0,70.91552,169.718246,329.861328,125.723633,1,?,?,?
651,'2017/02/11 13:50:13:668',10,0.000061,68.776215,548.78241,129.135635,17.855682,56.541992,391.169891,72.286789,155.048004,0,70.54734,171.218628,331.623596,125.54348,1,?,?,?
652,'2017/02/11 13:50:13:800',10,0.00006,69.377693,548.435059,129.316193,17.289734,56.930176,391.866943,71.943504,155.007217,0,69.430878,172.90683,331.090942,126.132111,1,?,?,?
653,'2017/02/11 13:50:13:904',10,0.000075,68.572784,548.758179,129.367401,22.436291,57.263668,392.85498,70.727844,154.977112,0,69.206444,173.958527,331.737,125.851501,1,?,?,?
654,'2017/02/11 13:50:14:032',10,0.000066,68.95063,548.665283,129.237823,15.126273,57.336784,393.891357,69.815651,154.853043,0,69.7649,174.10318,330.391602,125.2061,1,?,?,?
655,'2017/02/11 13:50:14:180',10,0.000069,69.160477,548.873474,129.162933,12.076557,57.11771,393.49469,70.120613,155.208527,0,69.869621,173.789108,331.125,125.853592,1,?,?,?
